player1,numeric,tag_similarity,categorical,tag_numeric,tag_categorical,numeric_categorical,all,player2
Botic van de Zandschulp,,,0.31980107453341566,,,,0.31980107453341566,Corentin Moutet
Ellen Perez,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Kimberly Birrell,,,0.31980107453341566,,,,0.31980107453341566,Corentin Moutet
Alec Deckers,,,0.375,,,,0.375,Corentin Moutet
Marie Bouzkova,,,0.375,,,,0.375,Corentin Moutet
Arthur Fils,,,0.5330017908890261,,,,0.5330017908890261,Corentin Moutet
Marin Cilic,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Alexander Bublik,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Carol Zhao,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Anna Blinkova,,,0.375,,,,0.375,Corentin Moutet
Ashlyn Krueger,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Arthur Rinderknech,,,0.6708203932499369,,,,0.6708203932499369,Corentin Moutet
Magali Kempen,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Daniil Medvedev,,,0.31980107453341566,,,,0.31980107453341566,Corentin Moutet
Mikael Ymer,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Ankita Raina,,,0.4743416490252569,,,,0.4743416490252569,Corentin Moutet
Greet Minnen,,,0.5345224838248488,,,,0.5345224838248488,Corentin Moutet
Polina Kudermetova,,,0.5345224838248488,,,,0.5345224838248488,Corentin Moutet
David Goffin,,,0.33541019662496846,,,,0.33541019662496846,Corentin Moutet
Erin Routliffe,,,0.33541019662496846,,,,0.33541019662496846,Corentin Moutet
Elina Svitolina,,,0.3779644730092272,,,,0.3779644730092272,Corentin Moutet
Adrian Mannarino,,,0.7462025072446364,,,,0.7462025072446364,Corentin Moutet
Venus Williams,,,0.31980107453341566,,,,0.31980107453341566,Corentin Moutet
Dalila Jakupovic,,,0.5,,,,0.5,Corentin Moutet
Rinky Hijikata,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Elise Mertens,,,0.3061862178478973,,,,0.3061862178478973,Corentin Moutet
Alex de Minaur,,,0.375,,,,0.375,Corentin Moutet
Lucrezia Stefanini,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
